sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
4,,Lansdowne Cantt.,,PR (4) KR (1),,PT/OSD,,167,,548,,...,,HL,,R/OHT,,"2,000 Galls.",,...,,90,,...,,3,,135,,...,,4.0,1.0,ORDINARY,,False,3,garhwal_civic_1971,Garhwal,Uttar Pradesh,1971,format_001,garhwal_civic_001,garhwal_civic_1971.pdf,f7a75fec60b4a611bcdd55ccbe04a0da3dd54850dd327326341138031eae05c8,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:16:53.321645+00:00
5,,Pauri,,PR (4) KR (25),,PT/OSD,,20,,200,,...,,HL,,F,,...,,...,,332,,4,,...,,320,,...,,4.0,25.0,ORDINARY,,False,4,garhwal_civic_1971,Garhwal,Uttar Pradesh,1971,format_001,garhwal_civic_001,garhwal_civic_1971.pdf,f7a75fec60b4a611bcdd55ccbe04a0da3dd54850dd327326341138031eae05c8,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:16:53.321645+00:00
6,,Srinagar,,PR (3) KR (7),,PT/OSD,,120,,46,,...,,HL,,F/R,,-,,...,,248,,3,,...,,80,,...,,3.0,7.0,ORDINARY,,False,5,garhwal_civic_1971,Garhwal,Uttar Pradesh,1971,format_001,garhwal_civic_001,garhwal_civic_1971.pdf,f7a75fec60b4a611bcdd55ccbe04a0da3dd54850dd327326341138031eae05c8,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:16:53.321645+00:00
1,,Balrampur,,PR (29) KR (3),,OSD,,...,,"4,287",,...,,B/C,,TW/OHT,,"75,000 Galls.",,...,,"1,624",,146,,789,,384,,...,,29.0,3.0,ORDINARY,,False,0,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
2,,Colonelganj,,PR (2) KR (1),,PT/OSD,,5,,709,,...,,B,,W/HP,,...,,...,,407,,38,,33,,102,,...,,2.0,1.0,ORDINARY,,False,1,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
3,,Gonda,,PR (28) KR (6),,PT/OSD,,313,,"6,533",,...,,B/HC,,TW/OHT,,"75,000 Galls.",,...,,"8,059",,535,,"2,413",,818,,...,,28.0,6.0,ORDINARY,,False,2,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
4,,Nawabganj,,PR (6) KR (2),,PT/OSD,,18,,"1,217",,...,,B,,TW/OHT,,"15,000 Galls.",,...,,409,,23,,48,,96,,...,,6.0,2.0,ORDINARY,,False,3,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
5,,Tulsipur,,PR (4) KR (5),,OSD,,...,,562,,...,,B,,W/HP,,...,,...,,421,,21,,31,,83,,...,,4.0,5.0,ORDINARY,,False,4,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
6,,Utraula,,PR (2) KR (7),,OSD,,...,,"2,177",,...,,B/HC,,W/HP,,...,,...,,436,,25,,60,,103,,...,,2.0,7.0,ORDINARY,,False,5,gonda_civic_1971,Gonda,Uttar Pradesh,1971,format_001,gonda_civic_001,gonda_civic_1971.pdf,4ad67c907e1a57492e4cb39936a64dd88e8709b8ce311d8377dbfb993a4b8ce1,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:19:20.694580+00:00
1,,Barhalganj,,PR (3) KR (2.5),,ST/OSD,,35,,"1,320",,...,,B,,W/HP,,...,,...,,595,,32,,10,,47,,...,,3.0,2.5,ORDINARY,,False,0,gorakhpur_civic_1971,Gorakhpur,Uttar Pradesh,1971,format_001,gorakhpur_civic_001,gorakhpur_civic_1971.pdf,b8771cb6a81ada0253943d22848d684a0620bce41f2d83d5db9954645ef9d712,28,29,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:22:20.345260+00:00
2,,Gorakhpur,,PR (60) KR (30),,S/ST/OSD,,"5,700",,"20,000",,...,,B/C/MT,,TW/OHT,,"1,500,000 Galls.",,Yes,,"11,312",,524,,"3,357",,"6,345",,...,,60.0,30.0,ORDINARY,,False,1,gorakhpur_civic_1971,Gorakhpur,Uttar Pradesh,1971,format_001,gorakhpur_civic_001,gorakhpur_civic_1971.pdf,b8771cb6a81ada0253943d22848d684a0620bce41f2d83d5db9954645ef9d712,28,29,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:22:20.345260+00:00
1,,Charkhari,,KR (8) PR (5),,PT/OSD,,100,,"2,500",,...,,HL,,TW/OHT,,"100,000 Gallons",,...,,33,,16,,42,,155,,...,,5.0,8.0,ORDINARY,,False,0,hamirpur_civic_1971,Hamirpur,Uttar Pradesh,1971,format_001,hamirpur_civic_001,hamirpur_civic_1971.pdf,ea7f25854089055025871d159b02c36927a0155f48090ba4ebc5477c2eadc55a,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:24:00.494634+00:00
2,,Hamirpur,,KR (0) PR (8.71),,PT/OSD,,178,,"2,399",,125,,HL,,TW/OHT,,"50,000 Gallons",,...,,517,,31,,23,,115,,...,,8.71,0.0,ORDINARY,,False,1,hamirpur_civic_1971,Hamirpur,Uttar Pradesh,1971,format_001,hamirpur_civic_001,hamirpur_civic_1971.pdf,ea7f25854089055025871d159b02c36927a0155f48090ba4ebc5477c2eadc55a,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:24:00.494634+00:00
3,,Mahoba,,KR (14) PR (11),,PT/OSD,,200,,"3,500",,300,,B,,TW/OHT,,"200,000 Gallons",,...,,984,,59,,26,,345,,...,,11.0,14.0,ORDINARY,,False,2,hamirpur_civic_1971,Hamirpur,Uttar Pradesh,1971,format_001,hamirpur_civic_001,hamirpur_civic_1971.pdf,ea7f25854089055025871d159b02c36927a0155f48090ba4ebc5477c2eadc55a,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:24:00.494634+00:00
4,,Maudaha,,KR (10) PR (6),,PT/OSD,,80,,"3,020",,...,,HL,,TW/OHT,,"50,000 Gallons",,...,,351,,22,,55,,170,,...,,6.0,10.0,ORDINARY,,False,3,hamirpur_civic_1971,Hamirpur,Uttar Pradesh,1971,format_001,hamirpur_civic_001,hamirpur_civic_1971.pdf,ea7f25854089055025871d159b02c36927a0155f48090ba4ebc5477c2eadc55a,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:24:00.494634+00:00
5,,Rath,,KR (7) PR (12),,PT/OSD,,142,,"2,734",,...,,HL,,TW/OHT,,"50,000 Gallons",,...,,501,,77,,12,,130,,...,,12.0,7.0,ORDINARY,,False,4,hamirpur_civic_1971,Hamirpur,Uttar Pradesh,1971,format_001,hamirpur_civic_001,hamirpur_civic_1971.pdf,ea7f25854089055025871d159b02c36927a0155f48090ba4ebc5477c2eadc55a,26,27,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:24:00.494634+00:00
1,,Bilgram,,PR (13) KR (3.2),,OSD,,...,,200,,...,,B/HC,,TW/OHT,,"25,000 Galls.",,...,,216,,13,,40,,87,,...,,13.0,3.2,ORDINARY,,False,0,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
2,,Hardoi,,PR (16.7) KR (0),,BD/ST/OSD,,100,,"5,000",,...,,B/HC,,TW/OHT,,"1,17,000 Galls.",,...,,"2,323",,221,,185,,"1,125",,...,,16.7,0.0,ORDINARY,,False,1,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
3,,Madhoganj,,PR (4.0) KR (0.0),,ST/OSD,,70,,"1,500",,...,,B,,HP/W,,...,,...,,250,,33,,60,,58,,...,,4.0,0.0,ORDINARY,,False,2,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
4,,Pihani,,PR (16) KR (1.5),,OSD,,...,,"1,500",,...,,B,,HP/W,,...,,...,,250,,9,,50,,42,,...,,16.0,1.5,ORDINARY,,False,3,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
5,,Sandi,,PR (10.3) KR (3),,ST/OSD,,15,,800,,...,,B,,HP,,...,,...,,355,,40,,45,,91,,...,,10.3,3.0,ORDINARY,,False,4,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
6,,Sandila,,PR (30.7) KR (6.2),,ST/OSD,,20,,"1,500",,...,,B/HC/MT,,TW/OHT,,"50,000 Galls.",,...,,513,,44,,56,,100,,...,,30.7,6.2,ORDINARY,,False,5,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
7,,Shahabad,,PR (20.6) KR (7.6),,ST/OSD,,45,,"4,516",,...,,B/HC,,HP/W,,...,,...,,360,,64,,200,,182,,...,,20.6,7.6,ORDINARY,,False,6,hardoi_civic_1971,Hardoi,Uttar Pradesh,1971,format_001,hardoi_civic_001,hardoi_civic_1971.pdf,f96856aa941d20e3a9beb3ba13715fbc9bb297c8f9589c405782d90c7cdbf192,30,31,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:27:10.107324+00:00
1,,Jalaun,,KR (12) PR (8),,PT/OSD,,25,,"1,500",,30,,B,,TW/OHT,,"50,000 Galls.",,...,,269,,38,,213,,180,,...,,8.0,12.0,ORDINARY,,False,0,jalaun_civic_1971,Jalaun,Uttar Pradesh,1971,format_001,jalaun_civic_001,jalaun_civic_1971.pdf,9ab772c5710186801e4f99331d94372ffca47c12fcf7df43e3589c64fa518e29,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T20:31:27.078318+00:00
